ID	ZT00	ZT00	ZT00	ZT00	ZT00	ZT04	ZT04	ZT04	ZT04	ZT04	ZT08	ZT08	ZT08	ZT08	ZT08	ZT12	ZT12	ZT12	ZT12	ZT12	ZT16	ZT16	ZT16	ZT16	ZT16	ZT20	ZT20	ZT20	ZT20	ZT20
OT_ostta03g04500	215548339.3	205085230	199746426	190579781.9	207230643.9	157193113.5	199404966.3	181949073.8	167859018.8	92361676.09	189181996.9	142285938.5	156278268.8	139140761.6	162552392.6	160951071.9	197039836.8	168373359.1	190192338.8	170991676.1	200852891.2	178495640.4	183134319.4	213784259.7	172725710.2	195689675.7	241670864	191325322.1	225074795.3	115926233
OT_ostta07g02040	1829776.451	2161365.55	2054187.073	2093073.638	2014726.345	1763228.193	2084842.309	1978609.076	2027038.083	1243306.865	2209686.04	1677429.707	1726102.197	1742559.912	1693414.687	1987387.447	2100559.788	1941336.556	2233244.928	1957582.428	2003906.969	1919784.106	1854222.943	2077055.319	1797891.166	2041211.473	2277314.51	1905498.413	2601646.788	1314373.859
OT_ostta07g03470	387152.7722	430067.719	434428.1595	425575.403	394522.6425	368507.8871	451100.6748	377270.7147	430970.7494	220178.2085	597289.0007	312192.8242	300214.5487	335152.1505	347003.7144	366517.6381	406431.6476	399724.8627	467110.0603	361031.7696	514645.7738	403469.6896	398020.5379	509953.8814	361619.3092	384069.3765	500620.0519	434831.5368	551918.9374	149428.7449
OT_ostta11g00180	704366.5845	796054.5761	1033235.648	958992.7636	809589.0855	733147.6723	818348.609	955669.2398	788123.6103	542276.254	751317.1894	728287.586	753272.9655	729407.0927	742367.1878	736926.8878	1018512.241	777253.1761	1068981.421	1055699.839	774991.9475	775125.4475	879642.401	1027391.306	860323.734	796818.6121	808918.3238	835963.6477	1005855.675	408877.3218
OT_ostta07g01850	771756.6273	844792.504	735035.1083	769781.3978	818672.6887	710133.7029	812534.2473	766206.6586	752491.7424	571224.3394	755804.2911	630059.7374	721707.4659	668026.7257	681582.5231	612664.3145	928603.5183	754651.104	961564.3453	738904.2946	799986.9697	727747.5962	725510.6884	905215.611	684422.2658	838529.0725	800209.5367	679283.1447	856932.8238	511228.1149
OT_ostta15g00480	567597.2811	574757.6174	523970.6885	460955.9071	604674.9486	511834.021	716916.0394	505567.3531	561801.4223	248203.5439	435354.9183	493030.8355	517389.0071	484737.2089	497402.0604	436900.3157	720251.5646	372376.6883	698668.1217	593668.9221	654982.0554	533331.6926	486452.5832	568569.1326	486098.8683	599536.4791	596168.9021	493299.2325	665330.9751	206413.0371
OT_ostta07g02440	534208.2996	622752.6706	487386.6747	476722.4755	548232.9172	567173.6376	616207.5542	634509.3102	500467.9653	266784.6766	497212.1554	487922.8139	480307.7506	447546.3461	483130.3971	435383.5354	587549.6673	388181.3027	549852.319	451709.3179	562106.9547	496250.6429	432811.5005	600160.4589	449091.7919	525382.5605	607110.0451	454506.4151	674810.4867	193850.1117
OT_ostta07g01990	691892.3883	806243.0401	737479.6741	725238.1633	743854.4748	739225.8184	836596.7942	849024.9672	833114.8005	592086.7149	748278.307	644226.2899	584314.7195	655937.9773	615187.2395	697397.6496	813536.7049	708246.808	758185.3296	635641.4068	814165.3273	685583.5247	651035.6904	783933.4437	683239.9955	728742.0025	864558.2858	707551.7738	880984.1436	668014.097
OT_ostta02g01320	3159634.429	3900870.343	3420409.691	3334249.492	3360730.144	3504899.89	4043632.29	4022313.098	4720612.151	2096468.081	3659013.671	3171424.488	2820586.969	2658177.511	2822993.372	2640254.344	3581441.961	2671423.531	3411128.037	3435283.487	3341197.385	2916679.02	2481275.695	2839361.687	2666966.904	2941908.932	3413496.303	2866440.192	4238595.292	2364429.932
OT_ostta09g03020	459182.0465	516975.3489	504517.4602	470820.8095	490510.5728	450039.971	560323.8458	575794.8708	591541.8882	272405.2647	514276.2915	436694.4599	435428.5881	410899.9531	443517.8968	430473.0733	484221.345	483375.3765	479238.1128	409147.4318	472311.202	419735.1639	461716.8289	442739.1646	388146.9806	438907.0856	481365.6857	464349.5095	497888.7556	392009.9824
OT_ostta07g01200	1404859.083	1820326.058	1267476.015	1343501.651	1358106.65	1429452.972	1470396.553	1428818.174	1426049.141	1101349.435	1229017.836	1156671.592	1100747.999	1222768.082	1223712.854	1183486.168	1178346.671	1474122.31	1308491.93	1190885.2	1319177.423	1179658.603	1007060.928	1228055.023	1250601.826	1437957.927	1514163.816	1231904.123	1589691.524	951349.2841
