MGI.ID	pval.protein	pval.mRNA
MGI:88041	0.730563888	0.000506589
MGI:88042	0.910972269	0.000505048
MGI:1888993	0.07167081	0.009806965
MGI:1926788	0.008324658	0.007102861
MGI:88047	0.455442257	0.021866287
MGI:1919131	0.221781071	0.024048228
MGI:88049	0.00550295	0.259925469
MGI:88050	0.004763361	0.089787679
MGI:88051	5.49e-05	0.417688357
MGI:1913363	0.003008515	0.002388348
MGI:88052	0.119035417	0.046066393
MGI:88053	0.381040494	0.154544127
MGI:88057	0.0017969	0.288734845
MGI:104539	0.000125307	0.027432658
MGI:88058	0.00523133	0.271678862
MGI:3606001	0.194436403	0.000119553
MGI:1915566	0.964695412	0.187620077
MGI:1915367	0.891983852	0.002197423
MGI:1920243	0.755054267	2.16e-05
MGI:2384914	0.407723072	1.4e-07
MGI:88061	0.452495124	0.006466066
MGI:88065	0.561297808	0.003123285
MGI:1916960	0.782581023	0.000270009
MGI:2387591	0.630898765	1.26e-05
MGI:99433	0.311130774	0.134782932
MGI:99434	0.223414628	0.358969686
MGI:99435	0.957081523	9.58e-06
MGI:2183559	0.788042447	0.00599845
MGI:1924288	0.463024919	0.1238247
MGI:1913501	0.633770955	0.149648591
MGI:2442988	0.532666581	0.000670729
MGI:1277120	0.924746332	0.682476815
MGI:88070	0.346186657	6.86e-05
MGI:2445003	0.656830019	0.001646053
MGI:1922665	0.179256784	0.001012578
MGI:1917747	0.800474689	0.144083574
MGI:1922647	0.564902426	0.001265406
MGI:1333857	0.547361596	0.105365311
MGI:1929494	0.491566914	0.51325936
MGI:1332637	0.657310645	0.04980183
MGI:2178103	0.610492922	0.387602168
MGI:101940	0.510303119	0.027885477
MGI:1353510	0.076000551	0.916482472
MGI:2444453	0.465774607	0.2257404
MGI:1920004	0.702932555	1.36e-05
MGI:1916882	0.951342156	0.003946305
MGI:3045246	0.298621914	0.079812211
MGI:1925912	0.271181776	0.000191278
MGI:1858952	0.819808832	0.027739739
MGI:1920591	0.803292265	0.176406867
MGI:1860493	0.781096427	0.004154101
MGI:1926129	0.930689989	0.318437169
MGI:2175912	0.658225154	0.091217485
MGI:1344363	0.573883856	0.003388846
MGI:1344361	0.712912052	1.6e-05
MGI:99436	0.925374049	0.002979418
MGI:1928393	0.937457305	0.119484702
MGI:1929699	0.245078464	0.043820509
MGI:1858943	0.126578234	9.98e-05
MGI:1921502	0.463193991	8.42e-06
MGI:1924063	0.28358167	0.00119633
MGI:1928896	0.471016769	0.001708619
MGI:1343142	0.643676201	1.94e-05
MGI:1923959	0.832696931	0.000845808
MGI:1928375	0.449581238	0.008015087
MGI:1915339	0.009344638	0.276038439
MGI:1915021	0.694375726	0.003490294
MGI:1921442	0.587826749	0.020066145
MGI:1891691	0.044748936	0.000307877
MGI:99473	0.094079641	0.63499584
MGI:99474	0.256698705	0.005756468
MGI:88075	0.054876412	0.671908622
MGI:1929882	0.030715562	0.002487856
MGI:1277124	0.346765624	0.075232823
MGI:1859310	0.033748489	0.006319824
MGI:1342335	0.38271083	0.055636998
MGI:2152835	0.550090472	0.000105217
MGI:1922702	0.418212673	0.090172525
MGI:88081	0.053144357	0.062159224
MGI:88082	0.762441764	0.881952625
MGI:88084	0.67666874	2.13e-05
MGI:1928379	0.452515966	0.733670508
MGI:87914	0.174918999	0.008959852
MGI:1915602	0.34546678	0.029084449
MGI:2144822	0.034833286	4.46e-07
MGI:1914186	0.610140631	0.007281862
MGI:1916188	0.728024151	0.531807648
MGI:1913764	0.475887229	3.23e-05
MGI:88090	0.284173513	0.022197757
MGI:1915229	0.431361616	0.004320475
MGI:2444798	0.542580455	0.201994523
MGI:1333870	0.734141227	0.014060879
MGI:1858965	0.278112941	0.000168753
MGI:1924290	0.282891195	0.031283495
MGI:1916291	0.793085987	0.003521829
MGI:1915091	0.160798107	0.001449571
MGI:1913865	0.817412156	0.150368117
MGI:1277186	0.188590096	0.004788195
MGI:1921494	0.64439786	0.013445096
MGI:1351352	0.474474865	0.004423556
MGI:1929492	0.007799033	3.75e-07
MGI:1924270	0.023033651	1.45e-05
MGI:1333855	0.282882405	0.000644665
MGI:1859661	0.985642951	1.49e-07
MGI:2180801	0.532442056	0.885424859
MGI:88105	0.961499849	2.12e-08
MGI:1351335	0.066744308	0.210665076
MGI:88108	0.938736771	2.14e-05
MGI:107788	0.488402445	0.296617485
MGI:88110	0.016926138	1.08e-06
MGI:88111	0.139002903	0.598343731
MGI:1889008	0.667202908	0.022501708
MGI:88113	0.904068276	0.004773386
MGI:88115	0.22219312	0.001957541
MGI:107801	0.266921283	0.000154432
MGI:1261437	0.360712775	0.094328738
MGI:1913293	0.03413805	0.359026975
MGI:1100495	0.921831682	0.190283823
MGI:107777	0.103963015	0.558331383
MGI:1927558	0.742166254	0.621841019
MGI:1351597	0.844781467	0.827373704
MGI:106341	0.299939954	0.09542224
MGI:109629	0.041101977	0.16439109
MGI:88116	0.459338168	0.001971012
MGI:1201778	0.288922677	0.001492
MGI:1201780	0.000145289	0.001500932
MGI:109618	0.703532422	0.033778223
MGI:1913585	0.687191366	1.37e-09
MGI:1921084	0.843266263	1.4e-09
MGI:894326	0.42059772	1.14e-05
MGI:1913394	0.952851217	0.104934071
MGI:1913540	0.478725838	0.000412359
MGI:1914864	0.150788101	0.030792262
MGI:103297	0.811322188	0.023899432
MGI:1330826	0.709772488	0.256504266
MGI:2180560	0.274869675	0.003033333
MGI:2180561	0.946138904	0.169545571
MGI:103067	0.436299378	0.004358832
MGI:1859293	0.106092046	0.000970623
MGI:1277223	0.232617087	0.000156764
MGI:2446242	0.853947307	0.771363245
MGI:1099442	0.190954605	0.062560691
MGI:1338011	0.06374816	6.43e-10
MGI:107789	0.804085843	0.55983437
MGI:1921518	0.112260609	0.024483166
MGI:1926187	0.427325948	0.010794479
MGI:103163	0.02494441	0.059031897
MGI:88127	0.95441827	0.069260495
MGI:1927169	0.43475682	1.53e-05
MGI:106642	0.223654053	0.236279435
