ID	CT03	CT07	CT11	CT15	CT19	CT23	CT27	CT31	CT35	CT39	CT43	CT47
Col1a1 Cola1	0.498593719396382	0.50695052166472	0.514215748825253	0.476188562984222	0.477959473253653	0.493877209545591	0.527468046005923	0.522600597413317	0.493424080995722	0.486916929004285	0.513273843387908	0.526480953884385
Col1a2	0.498593719396382	0.503580124544171	0.499861129598086	0.469857969355591	0.476413545532436	0.486727874686004	0.524513777953212	0.519773956703719	0.47746714546498	0.476897535541342	0.508380706090629	0.517541902440007
Cox5a	0.498593719396382	0.498001367538682	0.500457063465321	0.498013809220031	0.493252127991013	0.506747414401995	0.499988756858463	0.49050236269138	0.485954889272942	0.510082830690489	0.5065563872689	0.507799097944959
Cox5b	0.498593719396382	0.480911755750367	0.481727661820154	0.49753041498548	0.47307120871382	0.484736256948546	0.487304186636769	0.488615520408228	0.476884408980101	0.473586757885572	0.488398863808682	0.490491946030597
Cp	0.498593719396382	0.578919604149115	0.576001813603653	0.610014552790109	0.606022866850428	0.598123577174072	0.613209290132113	0.588273797716149	0.624148411598883	0.594879590696502	0.609633282354809	0.631352185474534
Crabp1	0.498593719396382	0.51155419709821	0.488687741315539	0.469694427516546	0.459623836013622	0.46162103281677	0.496479991082086	0.497640906928222	0.441156015878821	0.464827272798472	0.477257367035264	0.490113830692505
Crabp2	0.498593719396382	0.495586332198218	0.496267419686025	0.506515738513822	0.505136020585491	0.517931119566979	0.498537911282412	0.497347481233118	0.472570485561858	0.518620609036871	0.508257908482791	0.521974394386531
Creb1	0.498593719396382	0.581685364347871	0.530231432704515	0.616332889567263	0.515129771923536	0.586721181205397	0.615515070251823	0.522833266120855	0.574287818441784	0.520909307037518	0.532161512022831	0.541655756495371
Crip1 Crip	0.498593719396382	0.503577378571276	0.510346072277569	0.511539803947664	0.491240266170282	0.476879223650025	0.552369174544333	0.537636045167906	0.496999617101093	0.517739483752878	0.563441989563273	0.571772737603942
Cryab	0.498593719396382	0.524796771350629	0.444725327089505	0.327546889878845	0.435667551326939	0.444889880528748	0.424484592265708	0.416804675211742	0.46861893053922	0.418670348931323	0.322225119698433	0.391841003438257
Cs	0.498593719396382	0.486367646478011	0.4955772227496	0.472265624076891	0.480275211848009	0.48976619366791	0.49148614185743	0.49633892088203	0.492786741596848	0.488109249381651	0.487965144794675	0.490405976147038
Csnk2a1	0.498593719396382	0.497000209731519	0.509202233834604	0.502537507593123	0.513225813599992	0.492940726473945	0.472604935235552	0.487359104853648	0.4734751382655	0.524794266384635	0.490383680402547	0.506642313633877
Csrp1 Crp1 Csrp	0.498593719396382	0.562308949189197	0.531063411527011	0.52714208595115	0.556248651460178	0.578050043969707	0.548977722124354	0.540824367407579	0.598299754707917	0.548274498984179	0.563541669206716	0.58191504334536
Pcyt1a	0.498593719396382	0.471096677645847	0.442268070202618	0.441741054711809	0.42516403572738	0.440817270296259	0.464550962812819	0.439759504659127	0.443495929624728	0.438408594377506	0.388454035666088	0.44236700796179
Ctsb	0.498593719396382	0.527658207731471	0.509195832797215	0.512623507156189	0.514784534212408	0.510596492016218	0.503995036498202	0.512560564559524	0.496627742708267	0.458983651690856	0.512184225954422	0.516290877067232
Cycs	0.498593719396382	0.46774298851693	0.488435444734614	0.462394044208605	0.486012185540406	0.496099468653442	0.427906802064161	0.434862537478411	0.437529895626777	0.515801540064163	0.470982395863381	0.454167895065865
Ywhaq	0.498593719396382	0.546380526686019	0.518907134058241	0.547207044174655	0.59549555088863	0.566375962485249	0.516989100534552	0.542316945235574	0.562384863467283	0.560035654781006	0.538758866865927	0.542557996151545
Serpina1e Dom5 Spi1-5	0.498593719396382	0.47060278525659	0.548418243094992	0.542213966370645	0.543894873841519	0.505455584484237	0.607260200830478	0.524759109658083	0.571101766697265	0.520341186011988	0.600059618455413	0.612856939614845
Serpina1d Dom4 Spi1-4	0.498593719396382	0.528569487669847	0.521324307187003	0.525583148407703	0.516987571179054	0.498733890350298	0.561032268371198	0.560961932579658	0.555192497499816	0.5183481363808	0.567770835304785	0.589346689866399
Serpina1a	0.498593719396382	0.536310395851281	0.547321714728637	0.551207431927869	0.554454227174159	0.565300215400178	0.603693561379442	0.548935312355927	0.581494590631919	0.528573179634128	0.59905356960638	0.602031417946371
Mapre1	0.498593719396382	0.517058147315616	0.543973093694376	0.588131294381339	0.565147604254143	0.552713648860104	0.551153814387095	0.540679418262262	0.556248417568483	0.589614121399406	0.542012816285829	0.541365631841922
Stx4 Stx4a	0.498593719396382	0.507767799314461	0.498496172163467	0.538695016584157	0.517296618390466	0.516273203393296	0.514038762640035	0.512898642388328	0.492297105176006	0.52362628290564	0.519361648004798	0.519838644345888
Khdrbs1	0.498593719396382	0.582104320634323	0.456725805221052	0.69815263131301	0.599908525661127	0.741346413225225	0.57067056431488	0.454322715234989	0.557687980579793	0.62820546460012	0.656813072107283	0.646891284205393
Snu13	0.498593719396382	0.525281041665536	0.511389643989907	0.504451825904011	0.499898747854785	0.518434955455856	0.510176524956917	0.497909457947799	0.501978066952776	0.509844213919398	0.510601071478276	0.509710174866088
Cirbp	0.498593719396382	0.50759990098404	0.506069711187201	0.509157502192621	0.50259861562507	0.500474592684039	0.488856939908389	0.50623099370031	0.476918215803256	0.514580975713281	0.536782730988185	0.543246468808937
Selenop Selp Sepp1	0.498593719396382	0.570720177815153	0.585600407610992	0.59444191289801	0.60589300409178	0.575341073038659	0.615824521127042	0.651335385685168	0.635036384832111	0.611152801660046	0.65903551976808	0.66063074676224
Sep.08	0.498593719396382	0.530578624863299	0.528425604398854	0.535137618295775	0.514026973902888	0.514837512377511	0.551896365667121	0.55348957690703	0.54763538442428	0.50878705142003	0.511042341793643	0.508555420953344
Rab6a	0.498593719396382	0.497643325353462	0.520059104353689	0.498668412837587	0.508513857728896	0.523107921242096	0.512370140481459	0.505139775676537	0.48518210068632	0.513741033817595	0.509625207647353	0.498786730348039
Rap1b	0.498593719396382	0.527373086225744	0.510836572451259	0.527863877874653	0.525205180586021	0.535561977918889	0.530505977871011	0.513097908350193	0.518352850121678	0.523457050805137	0.529809518974643	0.53074693893683
Prdx6	0.498593719396382	0.523080961728635	0.514288980091738	0.51933559261884	0.525049549945355	0.526885007621221	0.512901030201637	0.517992141471846	0.504962892661798	0.526741088277791	0.527789536636117	0.536293451154965
Ranbp2	0.498593719396382	0.591749240917016	0.607908423763442	0.637967726948238	0.63752796911044	0.659176401911601	0.641110235041879	0.434411437506711	0.529212531891531	0.560553733160092	0.651122101196598	0.665678393062506
Atp6v1e1	0.498593719396382	0.519180759212124	0.520969191336863	0.510745598344423	0.52411654943584	0.519888881005784	0.493693327898939	0.483712638837081	0.476536890018275	0.530682709067122	0.498344304142726	0.48533630770675
Ppfibp2	0.498593719396382	0.54378171617878	0.57767549624527	0.560432750508788	0.560908476289295	0.502923509226375	0.56734369934505	0.565619230435285	0.566568784222082	0.567734680877505	0.583863855179464	0.567208850895753
Usp9x	0.498593719396382	0.548075901851627	0.539302554855076	0.562648420605451	0.55536445273837	0.581044074851681	0.550632288608232	0.558232622254678	0.560811105612757	0.544907898901294	0.562905839389687	0.565741231719257
Pa2g4 Ebp1 Plfap	0.498593719396382	0.596176180438503	0.573534321328253	0.612878583407953	0.580921996293268	0.601080468421016	0.647780749833936	0.575040336221746	0.656626284643819	0.568551971433898	0.525484284365369	0.565315906248371
Xrn2 Dhm1	0.498593719396382	0.558116205993311	0.530314141838338	0.5368950415278	0.5345928284426	0.558308354102205	0.529054109608279	0.546791251755316	0.521251014531187	0.537486317003838	0.544125817939085	0.549792521035079
Ywhae	0.498593719396382	0.478724167880398	0.464556026357053	0.576168397358499	0.593220335374966	0.551830089927641	0.477518591130658	0.490274678350732	0.518768011521575	0.505107891861758	0.488057435297254	0.501270050894379
Serping1	0.498593719396382	0.525228613605096	0.513110507227941	0.497498090027963	0.488477010772051	0.480955531141831	0.52655722201984	0.534982630422913	0.528978644746427	0.505454232677936	0.512207795568894	0.520692894175126
Numbl Nbl	0.498593719396382	0.514868011871155	0.510906868364555	0.542202346660996	0.539459297784371	0.53273208241647	0.496059217439786	0.505884261465097	0.484649310130731	0.496228378388235	0.532419584247679	0.532443328515625
Mylk	0.498593719396382	0.5024232211775	0.510766033628159	0.480688332921375	0.469618970266308	0.482689685418182	0.489084105831858	0.481573606039207	0.458313214755528	0.469249770528853	0.496599675539334	0.478349041425006
Acadvl	0.498593719396382	0.513115190439624	0.500853328534234	0.493577320596416	0.494859537788872	0.491324376585904	0.482244269751025	0.519392801849139	0.502697998084583	0.474115675039141	0.498338088762558	0.500715803774867
Vars	0.498593719396382	0.498810330574442	0.503335006874609	0.489345938360053	0.512142542019686	0.511860134633899	0.507970780737331	0.508799513205971	0.501945140015783	0.484945178988825	0.485935743992503	0.490982032529552
Csde1	0.498593719396382	0.546840701523129	0.598475843798103	0.563579637432241	0.594688986669927	0.546468490399069	0.561459945003812	0.593280562114257	0.588012308620719	0.596618111061483	0.602141308902458	0.576691559551881
Dbi	0.498593719396382	0.551031393802411	0.510681482235268	0.526791129435006	0.55195890344169	0.536111799959753	0.511939378993607	0.539941853334764	0.532431527533706	0.527143371404023	0.513211429633025	0.53613363354683
Eci1 Dci	0.498593719396382	0.522643100754969	0.530618705973905	0.526944545923017	0.519393491196718	0.539027428971987	0.534362250281706	0.521138892130842	0.506051108565279	0.495782398137798	0.54466609352534	0.543028691895472
Dcn	0.498593719396382	0.502922177524666	0.522163291756617	0.528961290346652	0.51036073274473	0.499320598774519	0.499163075654672	0.509469654694803	0.49957782966769	0.545320036918018	0.544174075248105	0.547938552738553
Des	0.498593719396382	0.340538897538083	0.440812886916025	0.39424260618091	0.443472796685307	0.37618616273585	0.349232822294791	0.344747864643426	0.430208367831135	0.429110327897296	0.37419078510872	0.331113452800055
Cyb5r3	0.498593719396382	0.517867724492888	0.510213515586307	0.512113059421277	0.518941731082876	0.525510620471003	0.510715474881114	0.520904529094322	0.507712717530592	0.523361488135398	0.517047663060381	0.515731419879895
Dmd	0.498593719396382	0.539058812902215	0.478056531274826	0.518243803641196	0.5343369017004	0.414042540706575	0.425243506863577	0.365312631301318	0.606159446693964	0.420963012914396	0.200139816980718	0.301625024969914
Eef2	0.498593719396382	0.48750976510963	0.529685701906786	0.441490860177686	0.494499421769467	0.49651417484566	0.492267318278462	0.501321841151111	0.4590332876123	0.514239842896555	0.498612618871294	0.468829375481671
Egfr	0.498593719396382	0.555231629640578	0.531250192950824	0.581122079097266	0.560869084443534	0.55054569738522	0.558509186898498	0.559292846857173	0.583941826827479	0.568212422660469	0.596565172857359	0.593434778649206
Eif2s1 Eif2a	0.498593719396382	0.496040075303274	0.52672069353418	0.615802188151825	0.537100375767097	0.537703574341835	0.51343364957862	0.528333228265604	0.520617580635492	0.575002476709941	0.512943477366261	0.556517458709886
Eif3a Csma Eif3 Eif3s10	0.498593719396382	0.46797567046206	0.51157424948461	0.503436273126132	0.444933457108135	0.524237776486177	0.489716494702436	0.464084173647626	0.525962993568069	0.508313197269497	0.45738291810682	0.503863351833283
Eno1	0.498593719396382	0.449279922083986	0.4824826310366	0.454937476845937	0.492145558415065	0.503136821762093	0.478381863288615	0.461274117158179	0.431290418905501	0.515825296576881	0.506311075337682	0.543566726357479
Eno2	0.498593719396382	0.56357799679824	0.444201031096408	0.497031931964946	0.507391188511382	0.456292357908611	0.509553818722671	0.512563507607063	0.541231232312448	0.464694427693185	0.390117899986059	0.465821157541903
Ephx1	0.498593719396382	0.489164092489511	0.500485376605252	0.486790230195484	0.472953642353953	0.480678277646841	0.509784933088757	0.492788213203352	0.461574828575463	0.491383370326278	0.526681535497379	0.50599853853167
Esd	0.498593719396382	0.534563024501657	0.520475521918288	0.537767245254239	0.516954577557694	0.533196977116844	0.525255974631255	0.527862031892512	0.530460363612612	0.520609395501703	0.530291938012373	0.53045212056436
Fabp3 Fabph1	0.498593719396382	0.405336930134995	0.244463265666805	0.278206213554092	0.0999687834673901	0.157211864687464	0.226777552472986	0.191875195922095	0.365402436859761	0.149190207128584	0	0.0979305100040182
Fah	0.498593719396382	0.513901369760174	0.50238967331473	0.442671624799518	0.50111530038808	0.460044925703421	0.458437348863703	0.51647361391042	0.475602932679096	0.49133194153853	0.456073865255118	0.467094472454049
Fasn	0.498593719396382	0.541567688370818	0.509987388565569	0.485689776883238	0.484094573385803	0.531606434823595	0.526216374059536	0.518547479617105	0.533308017178612	0.48737218260127	0.472903236004681	0.461451919358181
Fbln1	0.498593719396382	0.583840955800798	0.521983816490514	0.657593053587474	0.568571737474646	0.532696611214384	0.600495669850314	0.608347591370127	0.605441588403522	0.61223172866281	0.628071439694486	0.608477311741932
Fbln2	0.498593719396382	0.53533644493507	0.504298578939907	0.561416834056708	0.541875888376371	0.542555039370005	0.537385076979292	0.544360435137362	0.523314336330742	0.562389852715534	0.544184878694766	0.534174471322635
Fbn2 Fbn-2	0.498593719396382	0.531550243067675	0.499566298980844	0.498854313630623	0.518156058844816	0.520598939955495	0.515174634783146	0.513012605144838	0.509116133974443	0.523922280002902	0.534463918873277	0.534541158647951
Fech	0.498593719396382	0.495282873567015	0.512905327454791	0.502451171276483	0.49316818163879	0.498980485996955	0.506731097912132	0.52051863600932	0.502958548717507	0.489096193738573	0.530133107928567	0.523538185989326
Fgg	0.498593719396382	0.568300277411593	0.465931950226179	0.589793109935814	0.502391176443249	0.562201873868831	0.546814777603001	0.557213397948051	0.526268517677227	0.485647667690874	0.566751291062117	0.543237950584251
Fh Fh1	0.498593719396382	0.515371399584824	0.52069443850565	0.512619130642956	0.52412525670988	0.51647718863928	0.51654922339296	0.523236482331821	0.527415819736019	0.528752292107487	0.52412789305897	0.51419604541486
Ctgf	0.498593719396382	0.391912742331766	0.468692159158187	0.696540926082165	0.674604500127997	0.607550766378461	0.494502057953087	0.365096094667445	0.423568887827829	0.668139450627394	0.648902279708493	0.595554252326435
Fkbp1a	0.498593719396382	0.546656770731919	0.510878312811229	0.528284607501961	0.523104173100786	0.536780356577937	0.524558817369199	0.529443669671607	0.50357224710165	0.500298126239758	0.520296845706305	0.537081407373974
Fkbp2 Fkbp13	0.498593719396382	0.506879516299252	0.532524256696976	0.531205707693513	0.490212766217833	0.519025915049866	0.543158647317261	0.544815712065603	0.509998301636034	0.443580933660514	0.547222550854855	0.539085056510178
Flna	0.498593719396382	0.514163122283675	0.485790213634182	0.503740415809878	0.49090130134011	0.526632607538878	0.498386473317927	0.501602630572272	0.55799977392957	0.509628055797908	0.502284055039517	0.499479612943582
Flnc Abpl Fln2	0.498593719396382	0.386894648789143	0.439531448590361	0.405124206506631	0.436799897058399	0.378072413546865	0.336501868131485	0.373190848221171	0.44403105405044	0.428352108355718	0.401752846682237	0.363699088692767
