ID	LD6.5	LD9.5	LD11.5	LD12.5	LD14.5	LD17.5	LD21.5	LD23.5	LD24.5	LD26.5	LD30.5	LD33.5	LD35.5	LD36.5	LD38.5	LD41.5	LD45.5	LD47.5	LD48.5	LD50.5
Q31SA9	0.850354472	0.840814127	0.888587092	0.90740256	1.086425624	0.961612278	0.941239187	0.861390346	0.939506956	1.08292904	0.955652499	0.910961452	0.828514283	0.833681185	0.891045744	0.970063134	1.114551139	1.183041556	1.192065173	1.27790921
Q31SA7	0.911381062	0.898255738	0.979715547	0.907193647	1.077705254	0.998159627	1.054629706	0.997929819	0.943191764	1.135272192	0.878011087	0.83004187	1.156112242	1.310991875	1.158243842	1.254295892	1.267651866	1.404753103	1.278792263	1.320383231
Q31SA6	0.454673874	0.488090101	0.461317575	0.644020957	1.06071815	1.393156803	1.528973647	1.698634733	0.899497582	0.586408153	0.22469841	0.362242998	0.378616904	0.49385562	1.268819954	2.031889097	2.231515974	2.488284304	0.679047258	0.373164224
Q31S93	0.935190314	0.987415636	1.063163358	0.995176243	1.070039969	1.029911719	0.961612278	0.949292391	1.013211242	1.219270314	1.15425031	0.950385934	0.881454704	0.933899193	0.888177976	0.93454453	0.98107001	1.07225974	1.073989412	1.258925412
Q31S91	1.037289544	1.035142167	1.031810635	1.080189621	1.121501865	1.020939484	1.028489826	1.074979049	0.999539589	0.828895916	0.926189813	0.973195294	0.835218297	0.856840528	0.981974025	1.156644774	1.070779382	1.137627286	1.141563305	1.111987742
Q31S90	1.174356619	1.038484455	0.954992586	1.06194005	1.180320636	1.028726672	1.091440336	1.164126029	0.978137704	0.815079556	0.703396171	1.305870166	1.271159361	1.328923557	1.253429755	1.269404402	0.857235208	0.867960577	0.777857422	0.527472716
Q31S88	0.899911911	1.273503081	1.278497844	1.207813835	1.048817681	0.964495043	0.879022517	0.7730365	0.814329185	1.025651926	1.086675811	0.978362955	0.809095899	0.823000312	0.784332119	1.201157618	1.389952631	1.135795124	1.048576209	0.97364357
Q31S84	1.162786551	0.973195294	0.995176243	0.954333128	0.739434994	0.967609225	1.037050726	1.098499845	0.94145594	0.630957344	1.018825954	1.068316657	0.929608316	0.934114256	0.998389489	1.277320846	1.070779382	0.964495043	1.010648184	0.933469215
Q31S83	0.844500673	0.902817565	0.930893505	0.768068581	1.19894704	1.043518133	1.084176526	1.040159644	0.990147739	1.212830193	1.023764345	0.887973489	0.849767271	0.783790509	0.825277491	0.854869849	1.117892391	1.110196874	1.046646439	1.328617596
Q31S82	1.043758439	1.16439411	1.171116231	0.982426345	0.728785964	1.115064527	1.090435546	1.111987742	1.012511583	1.012744749	0.891045744	1.081932085	0.992887401	1.071025966	1.017185124	1.131878994	1.065123582	1.092697627	1.073247783	1.099005839
Q31S80	1.081682989	0.906984782	1.047369686	0.9103324	0.59689783	1.031335578	1.24623516	1.225180286	1.11660611	1.053173687	1.670705876	0.931965853	0.917275935	1.110196874	1.214506938	1.261827535	1.737000726	1.544542987	1.247958088	1.642857898
Q31S75	0.872167702	1.41807761	0.986733789	1.011346556	1.369935122	1.156644774	1.502795895	1.601400648	1.380384265	0.856840528	0.566108923	0.591289273	0.342846721	0.864370626	0.438732695	1.370566145	1.888426125	1.653864785	2.009092813	2.169701554
Q31S69	0.954333128	0.904482149	1.023764345	1.056087738	1.186041813	1.003459849	1.018825954	1.013211242	0.937777913	0.98107001	1.042797545	0.922783882	0.788496918	0.95345456	0.841201426	1.011113712	1.201434227	0.96738645	1.122276838	1.077953433
Q31S66	1.067333154	1.075721875	1.07820167	1.028726672	0.589929345	1.018356876	1.032761406	1.065859597	1.042077455	1.06708742	0.981747943	0.97229936	0.925550245	1.009252886	0.996781571	1.251699273	1.004153254	0.985371507	1.019999597	1.163322157
Q31S65	1.015313124	1.001843766	1.024943676	1.019060575	1.109685727	1.052688794	1.02447178	0.992658807	0.982652583	1.106623784	0.941889597	0.824138115	0.832913689	0.718124924	1.026124365	0.936267611	1.066350557	1.155313904	1.183313992	1.036573257
Q31S62	1.034427363	0.92939429	0.964717152	0.900948569	1.168422738	1.038723602	1.093200949	1.129795915	1.036096007	1.07969229	1.062429204	0.976562402	0.702425064	0.964272986	0.825087485	1.17543874	1.234809608	1.111987742	1.148682488	1.235662879
Q31S61	0.586138165	1.052931213	1.197567496	1.257476854	0.55577627	1.041118108	0.956973695	0.965383785	1.102300489	1.088930093	0.981747943	0.940589226	0.867361218	0.854869849	0.981295935	1.059985685	1.087927613	1.152922195	1.173275495	1.041357862
Q31S60	1.032523631	0.951042664	0.93648322	0.95345456	1.064878356	1.088178147	1.069301067	1.091943079	1.050025872	0.94667302	0.970957007	0.898048931	0.794877127	0.883893622	0.962720013	1.032285911	1.025651926	1.118922482	1.11249995	1.248820445
Q31S59	0.892483098	0.9525768	1.140249788	0.892483098	0.869961433	1.022586371	1.046646439	0.958517398	0.958958913	1.154781985	1.149476243	0.826228174	1.093200949	0.689604362	0.82224265	1.01344457	1.086926056	1.109174815	0.999769768	1.197016123
Q31S58	0.908447847	0.971851703	0.970733461	0.86856035	1.129015749	1.050751455	1.085425449	1.014612013	1.018122417	1.189871329	0.969393269	0.931536765	0.850550296	0.858222705	0.876798907	1.073000687	1.22123713	1.179234021	1.165467051	1.202264435
Q31S56	0.980844136	0.949729657	1.069054879	0.974989638	1.109685727	1.006004677	0.944495733	0.93454453	1.058766033	1.212830193	0.924059636	0.899083443	0.824707606	0.92853868	0.946237161	1.013211242	1.107898565	1.137365368	1.159578088	1.206979795
Q31S55	0.893305484	0.797810963	0.935836544	0.868160456	1.27908675	1.039680743	1.101032149	1.07176606	1.091691679	0.847032355	0.880440476	0.991060119	0.849180475	0.998619403	1.051961874	1.251411092	1.019060575	1.068808749	1.085925421	1.091691679
