Uniprot.Accession	Gene.name	Gene.Name..Synpcc7942.only.
Q31NL6	Synpcc7942_1323	Synpcc7942_1323
Q31NL5	Synpcc7942_1324	Synpcc7942_1324
Q31NL4	Synpcc7942_1325	Synpcc7942_1325
Q31NL3	Synpcc7942_1326	Synpcc7942_1326
Q31NL0	Synpcc7942_1329	Synpcc7942_1329
Q31NK9	Synpcc7942_1330	Synpcc7942_1330
Q31NK4	Synpcc7942_1335	Synpcc7942_1335
Q31NK3	Synpcc7942_1336	Synpcc7942_1336
Q31NK2	Synpcc7942_1337	Synpcc7942_1337
Q31NK1	Synpcc7942_1338	Synpcc7942_1338
Q31NJ7	Synpcc7942_1342	Synpcc7942_1342
Q31NJ4	Synpcc7942_1345	Synpcc7942_1345
Q31NJ1	Synpcc7942_1348	Synpcc7942_1348
Q31NJ0	Synpcc7942_1349	Synpcc7942_1349
Q31NI1	Synpcc7942_1358	Synpcc7942_1358
Q31NI0	Synpcc7942_1359	Synpcc7942_1359
Q31NH8	Synpcc7942_1361	Synpcc7942_1361
Q31NH5	Synpcc7942_1364	Synpcc7942_1364
Q31NH1	Synpcc7942_1368	Synpcc7942_1368
Q31NG7	Synpcc7942_1372	Synpcc7942_1372
Q31NG4	Synpcc7942_1375	Synpcc7942_1375
Q31NG3	Synpcc7942_1376	Synpcc7942_1376
Q31NG2	Synpcc7942_1377	Synpcc7942_1377
Q31NF8	Synpcc7942_1381	Synpcc7942_1381
Q31NF7	Synpcc7942_1382	Synpcc7942_1382
Q31NF5	Synpcc7942_1384	Synpcc7942_1384
Q31NF4	Synpcc7942_1385	Synpcc7942_1385
Q31NF3	Synpcc7942_1386	Synpcc7942_1386
Q31NF1	Synpcc7942_1388	Synpcc7942_1388
P32084	Synpcc7942_1390	Synpcc7942_1390
Q31NE8	Synpcc7942_1391	Synpcc7942_1391
Q31NE7	Synpcc7942_1392	Synpcc7942_1392
Q31NE5	Synpcc7942_1394	Synpcc7942_1394
Q31NE2	Synpcc7942_1397	Synpcc7942_1397
Q31ND9	Synpcc7942_1400	Synpcc7942_1400
Q31ND8	Synpcc7942_1401	Synpcc7942_1401
Q31ND7	Synpcc7942_1402	Synpcc7942_1402
Q31ND5	Synpcc7942_1404	Synpcc7942_1404
Q31ND4	Synpcc7942_1405	Synpcc7942_1405
Q31ND0	Synpcc7942_1409	Synpcc7942_1409
Q31NC7	Synpcc7942_1412	Synpcc7942_1412
Q31NC5	Synpcc7942_1414	Synpcc7942_1414
