Entry	Entry.Name	Gene.Names	Cross-reference	Gene.Names2	Gene.Names3
A0A454XPB5	A0A454XPB5_OSTTA	BE221DRAFT_208400 BE221DRAFT_208460	KZ155821;KZ155820;		
Q5IFM9	Q5IFM9_OSTTA	OT_ostta04g03620	AY740087;CAID01000004;		
Q5SCB7	Q5SCB7_OSTTA	CycA OT_ostta02g00150	AY675097;CAID01000002;		CycA
S5PYB3	S5PYB3_OSTTA	psaB OtCpg00500	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285532;KF285533;		psaB
A0A1Y5I9W3	A0A1Y5I9W3_OSTTA	BE221DRAFT_47195 BE221DRAFT_61143	KZ155839;KZ155798;		
S5QEZ6	S5QEZ6_OSTTA	psbT OtOpg00030	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psbT
A0A1Y5IH69	A0A1Y5IH69_OSTTA	BE221DRAFT_67123 BE221DRAFT_67844	KZ155772;KZ155772;		
A0A1Y5I8E1	A0A1Y5I8E1_OSTTA	BE221DRAFT_78250 BE221DRAFT_81925	KZ155825;KZ155787;		
A0A454XR28	A0A454XR28_OSTTA	BE221DRAFT_82568 BE221DRAFT_82933 BE221DRAFT_83242 BE221DRAFT_83816	KZ155824;KZ155823;KZ155821;KZ155820;		
Q3B9U3	Q3B9U3_OSTTA	OT_ostta02g04800	AY954737;CAID01000002;		
S5QF52	S5QF52_OSTTA	rps9 OtCpg00430	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		rps9
A0A454Y1Y7	A0A454Y1Y7_OSTTA	BE221DRAFT_208481 BE221DRAFT_83219	KZ155823;KZ155820;		
A0A1Y5I4B5	A0A1Y5I4B5_OSTTA	BE221DRAFT_104730 BE221DRAFT_85884	KZ155839;KZ155839;		
A0A090M7K2	A0A090M7K2_OSTTA	OT_ostta02g02060 OT_ostta19g00330	CAID01000002;CAID01000019;		
S5QBR5	S5QBR5_OSTTA	atpF OtCpg00460	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		atpF
Q5SE78	Q5SE78_OSTTA	OT_ostta02g00200	AY591335;CAID01000002;		
A0A1Y5IB91	A0A1Y5IB91_OSTTA	BE221DRAFT_173536 BE221DRAFT_82981	KZ155821;KZ155820;		
A0A1Y5I2K8	A0A1Y5I2K8_OSTTA	BE221DRAFT_187078 BE221DRAFT_195621	KZ155838;KZ155792;		
S5LZG3	S5LZG3_OSTTA	OtMtg00250 OtMtg00390	KC967295;KC967295;KC967299;KC967299;KC967300;KC967300;KC967303;KC967303;KC967305;KC967305;		
Q5SCC0	Q5SCC0_OSTTA	CDKB OT_ostta15g00670	AY675094;CAID01000015;		CDKB
Q0P3I5	Q0P3I5_OSTTA	OtMtg00060	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00060	
A0A454XRK7	A0A454XRK7_OSTTA	BE221DRAFT_173524 BE221DRAFT_82876 BE221DRAFT_83234	KZ155823;KZ155821;KZ155820;		
A0A1Y5IPW6	A0A1Y5IPW6_OSTTA	BE221DRAFT_143947 BE221DRAFT_144843	KZ155777;KZ155772;		
A0A1Y5I4H0	A0A1Y5I4H0_OSTTA	BE221DRAFT_193831 BE221DRAFT_195308	KZ155825;KZ155787;		
Q0P3H8	Q0P3H8_OSTTA	OtMtg00130	KC967294;KC967295;KC967296;KC967297;KC967299;KC967300;KC967301;KC967303;KC967305;CR954200;	OtMtg00130	
A0A1Y5I810	A0A1Y5I810_OSTTA	BE221DRAFT_78455 BE221DRAFT_81816	KZ155825;KZ155787;		
U3NCZ8	U3NCZ8_OSTTA	psbA OtCpg00300 OtCpg00610	KF285526;KF285526;KF285527;KF285527;KF285530;KF285530;		psbA
Q0P3I1	Q0P3I1_OSTTA	OtMtg00100	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00100	
A0A1Y5I9U3	A0A1Y5I9U3_OSTTA	BE221DRAFT_79748 BE221DRAFT_82349	KZ155826;KZ155775;		
Q0P3E8	Q0P3E8_OSTTA	OtMtg00210 OtMtg00430	KC967294;KC967294;KC967295;KC967295;KC967296;KC967296;KC967297;KC967297;KC967298;KC967298;KC967299;KC967299;KC967300;KC967300;KC967301;KC967301;KC967302;KC967302;KC967303;KC967303;KC967304;KC967304;KC967305;KC967305;KC967306;KC967306;CR954200;CR954200;	OtMtg00210 OtMtg00430	
U3NCK3	U3NCK3_OSTTA	rpoC2 OtCpg00280	KF285526;KF285527;		rpoC2
Q0P3I3	Q0P3I3_OSTTA	OtMtg00080	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967303;KC967305;CR954200;	OtMtg00080	
Q0P3H6	Q0P3H6_OSTTA	OtMtg00150	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00150	
Q0P3I6	Q0P3I6_OSTTA	OtMtg00050	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00050	
S5M2P9	S5M2P9_OSTTA	OtMtg00340	KC967298;KC967302;KC967304;KC967306;		
Q0P3G0	Q0P3G0_OSTTA	OtMtg00310	KC967294;KC967295;KC967296;KC967297;KC967298;KC967299;KC967300;KC967301;KC967302;KC967303;KC967304;KC967305;KC967306;CR954200;	OtMtg00310	
Q5SCB4	Q5SCB4_OSTTA	CycH OT_ostta03g02270	AY675100;CAID01000003;		CycH
A0A1Y5IEQ9	A0A1Y5IEQ9_OSTTA	BE221DRAFT_169633 BE221DRAFT_82672	KZ155797;KZ155788;		
Q0P3F2	Q0P3F2_OSTTA	OtMtg00250 OtMtg00390	KC967294;KC967294;CR954200;CR954200;	OtMtg00250 OtMtg00390	
S5QBK9	S5QBK9_OSTTA	psbC OtCpg00010	KC990831;KF285522;KF285523;KF285524;KF285525;KF285526;KF285527;KF285528;KF285529;KF285530;KF285531;KF285532;KF285533;		psbC
